users_id,liked_movies
A121DGWQV512NO,['B002OHDRF2']
A122E0BU0KVYDA,['B000063W82']
A122VI5VXWBBXH,['B00005226W']
A1233DX0JAAY8J,['B0016OLXN2']
A124M9A7ECQVSG,['B004EPYZQ2']
A1250POFZL8U1B,['B0001G6PZC']
A1257UOB7BM9BK,['B004EPYZQM']
A125GK8TH88OIH,['B004EPYZQM']
A125PQE515J3JZ,['B00000IC8F']
A126KX6FVI4T66,['B0016OLXN2']
A127PCLKOSDS04,[]
A128EZUACEDNIY,['B003QWVPT4']
A128X98AP594F9,['B000UGBOT0']
A12AE5F7NRN7EG,[]
A12E0VBOOXB2C9,['B0001G6PZC']
A12E0Y0J6584RT,[]
A12EBC36D9QZ9N,['B000063W82']
A12EO4AM5023MK,['B000FVQLQQ']
A12FDY8QMUW9V5,['B000UGBOT0']
A12G4VIVXEQCIU,[]
A12GGK3E9HHINA,[]
A12IKUX0KN99X6,['B00096S43U']
A12IT8RIXH9GIF,['B004EPYZQ2']
A12IWQ640Q9WLD,['6301387090']
A12LEQ9DR63T20,['B001GBPZRU']
A12LH2100CKQO,[]
A12MRCRQV18FEQ,[]
A12PNLQL3E6W4C,['B000063W1R']
A12Q0LLN5R2XAG,['B002OHDRF2']
A12RIAPL805Q1H,['B0016OLXN2']
A12SX8D30RZ6QF,['B0001G6PZC']
A12UNBP1E1HHDY,['078401115X']
A12V5I7WHOYXVK,['0790747324']
A12X2J7AVZ04IQ,"['B000FVQLQQ', 'B000065K9R']"
A12X8OWP4N74KP,['B0001G6PZC']
A12XRMMPDPUPKH,[]
A12XW27OP0CUR,['B00004RQBF']
A12Z37U7M4Z0SJ,[]
A12ZS5QO31G2LS,['B001AQT0VI']
A1304TGWHME5C8,['B002OHDRF2']
A130BME1L9T5Z2,['B002OHDRF2']
A130FJ45LDXMDG,['B003QWVPT4']
A130YN8T37O833,"['B00020HBN2', 'B00284EM3C', 'B00284EM3C']"
A131CM36BMQBBI,['B000FVQLQQ']
A133CUOCQTPKTT,['B002OHDRF2']
A1345VRK5MYG7,['B00004RQB1']
A134K1N1C8VC37,['6300147967']
A13547L1PPP0OP,['B000063W82']
A136PLHJQM66U8,['B000063W82']
A13706H27ZEVZ,['B00004RQB1']
A13738OWIHAR9H,['6302999014']
A137AX2DG2D3QD,[]
A138826JMC0J3T,['B000065K9R']
A138WG3QE2JS4F,[]
A13910TC3NZ6LE,['B0095D5454']
A13AFOYULBGIC,['B0001G6PZC']
A13BLSXL78EMRX,['0790747324']
A13C1LQRZST5BH,['B001AQT0VI']
A13CEZ2JDDZ90Y,['B004EPYZQ2']
A13CJT87ASADNV,['B00013EY80']
A13D1WTFEMS9VH,['B00022VM5I']
A13D65PJH9BJ40,[]
A13DD17X1AZFGJ,['B00004RQB1']
A13DG42ZCGBROR,[]
A13DQTXG02HZC1,['B0001G6PZC']
A13ELXMKT9R7WD,['B004EPYZQM']
A13EMJ99WKIEL3,[]
A13F2IV3ME23R,[]
A13F8LV1XX4UHQ,['B000063W1R']
A13FAP6MW5X9JI,[]
A13G1TKIKHGV3F,[]
A13H2JJ3GEMJN1,"['B000CEXFBU', 'B001AQT0VI']"
A13H7Q4JVK6DTV,['B000FVQLQQ']
A13IAD6WL2Y8D0,"['B003QWVPT4', 'B004EPYZQM']"
A13ICU25K2WR0L,['B000056PNH']
A13IKSGDYNBNQS,"['B0001G6PZC', 'B004SCMGSU', '0790750708']"
A13J5V22IPFWNU,['B0001EYSQC']
A13K020ZYYSQZW,[]
A13KPPJHXVKTDL,['B001AQT0VI']
A13KXWTN0DT878,[]
A13MSC3DT6OA,['B003BGZ60Y']
A13MSE376I30KD,['B003QWVPT4']
A13MSJWB3IXGV4,['B0095D5454']
A13MW21DY3RZ4Y,[]
A13NO1WIGJZUV4,['B0071AD95K']
A13O9J1X3KCXQY,['B003QWVPTE']
A13OMT8D4GPIBV,['6304286961']
A13PCJSIRWAKHE,"['6304179499', 'B004SCMGSU']"
A13Q6DZC1WZ9K6,['0800103688']
A13R8BT8CUKBMR,[]
A13RBXRUQ1LVAW,['B000UGBOT0']
A13RM1AWD1C5ZR,['B0001G6PZC']
A13RYD26OASOWN,['B002OHDRF2']
A13TO1ZFAH9SVN,"['B000063W1R', 'B0001G6PZC']"
A13UMCD38SBR5H,['B004EPYZQ2']
A13VKDNZJH4KX0,['B000B19E8W']
A13VU3KET33WG6,['B0016OLXN2']
A13XI0MPZHD85,[]
A13XYSFJSJZC93,['B000063W82']
A13ZJBJCLLP49G,['B000063W82']
A1403840HDGP7H,['B000UGBOT0']
A140V1IIX2BTKK,['B000063W82']
A141G7PROEZAD5,['B008BSM1EG']
A141HP4LYPWMSR,"['B003AI2VGA', 'B000063W1R', '6304286961']"
A142A4Y0JLNTB1,['B000FVQLQQ']
A143005PM9G2K7,[]
A143P0NKQDNWYL,['B000UGBOT0']
A1457FZDPA8S6S,['0790747324']
A145CT70T2SB51,"['B0012EM5GK', 'B0019RP6KC']"
A145Z7KOPTJOFD,['B00004RQB1']
A14625D7IM4OD4,[]
A146H6A41B26QT,['B0001G6PZC']
A148NPMWS83CE7,['B004EPYZQ2']
A149J6BIRGFB95,['B002OHDRF2']
A149KBE47CBLYD,['B00004CQTP']
A14A9269KW3HEU,[]
A14DG5177AHBT4,[]
A14DW744E54DHP,['6303257933']
A14EVJK6LXJF1X,['B003QWVPT4']
A14FR42W13CU7W,[]
A14G152GBAETOQ,['0800103688']
A14H4RM6TDVXFQ,['B0012EM5GK']
A14HV65O34S8EF,[]
A14IJN7BZY3V10,['B000T4SWXO']
A14IS3LIDGTGJ2,['6303257933']
A14JN0SRDOUS59,['0800103688']
A14KCHP6FKA8LD,['B00004CQTP']
A14KKBXV1L0AB9,['B000F6ZPKY']
A14KNVY6OAN4L,['B004EPYZQM']
A14LAZ5I1YD6I1,['B0016OLXN2']
A14LURM7N737JM,['B0016OLXN2']
A14LV2SJSR3102,[]
A14LW26ZE4KU1D,[]
A14MNXASHGYPN7,['B000063W82']
A14MOU9MF0NNVB,['B00004RQBF']
A14N5L5T089VX3,['0800103688']
A14NA0W8ESGDSI,['B000063W1R']
A14NS7GGGSGMIY,['B000063W82']
A14NX8Z4OH501G,['0790747324']
A14OC67MXL92FA,['6304286961']
A14OJS0VWMOSWO,['B0042800WE']
A14OYR0THYN98B,['B006FYGF8Q']
A14QW3EMN8PBZV,['0790747324']
A14QYOCL2UOSPW,['B000T4SWXO']
A14QZ37F4IKMI4,['B000065FKL']
A14RY10M7CKY3V,['B004EPYZQ2']
A14S02470X8F99,[]
A14SND7303E3DH,['B006FYGF8Q']
A14SO48SN83R3U,['B000FVQLQQ']
A14T4RYJH1CYDO,['B002OHDRF2']
A14T524SK5VXN,[]
A14TI69ZWQQGPK,['B000UGBOT0']
A14V94PXMUI7Z1,['B00000IC8F']
A14VG36R0LW81I,[]
A14YFXJPHTX25T,['B001I7HLTW']
A14Z3N2QDCEFNV,['B002OHDRF2']
A14Z4603TJG2GX,['B00005952Q']
A150QS4IZB3XJ,[]
A151EKNEJ2C6DM,['B0001G6PZC']
A151WFKLTGJ0EK,['B006FYGF8Q']
A152HV6669BVV6,[]
A1531QAEL4CRA,['B000063W82']
A1534MBU6VJXYN,['078401115X']
A1536VSPC386SQ,['6304286961']
A153NZD2WZN5S3,[]
A15687EKV9CE5R,['B000063W82']
A157GIR4YJXQLH,[]
A157HLB7Z0JT1K,['B0001G6PZC']
A157XTSMJH9XA4,['B000UGBOT0']
A158ISYADQ2G0Q,['B0095D5454']
A159X239R3LO4M,['B000CEXFBU']
A15AF0QV9PIJLF,['B004EPYZQM']
A15B16J58TNCR4,[]
A15BAKVB9TDMMC,['078401115X']
A15BHBF0L0HV1F,['B000063W1R']
A15CTO6JC68JF3,['B004EPYZQ2']
A15FOTE3SQV16R,['B002OHDRF2']
A15FXDBBXU7NQP,['B000T4SWXO']
A15INKXTSZLK1K,[]
A15JBFLA0AN8UL,['B000Q7ZNZ4']
A15JJJVFDJLH12,[]
A15JSTS1OYXPE9,['B000063W82']
A15M8JPYPUF2CC,['B0001G6PZC']
A15MLF38WROSWU,['0800103688']
A15N5W09G9KLBU,['0790747324']
A15NFAT4JJBOO,['B000063W82']
A15OAXTD8A1FCS,['B00096S43U']
A15Q7ABIU9O9YZ,['B0001G6PZC']
A15S44J4NHU4LS,['B000FVQLQQ']
A15T7OICUPDI6,['B0042800WE']
A15TDTY8HF47PW,['B004EPYZQ2']
A15UA9II7PFZ2J,['B000FVQLQQ']
A15UABE8RUSD3G,['B004EPYZQ2']
A15V6LZWP23LZ2,[]
A15W4HEVMH4AJ8,[]
A15W94TIP8HCKM,['B0001G6PZC']
A15XNT79BMHKXN,['B000065FKL']
A15XOD5VLYYBSQ,['B000JBXHBO']
A15XXOVX6ZNNRO,['B000063W1R']
A15Y9CEBKMOVB,['B004EPYZQ2']
A15YJ3PW18UI92,['B004EPYZQ2']
A15YPJLKLZS0MK,"['B0001G6PZC', '6304286961']"
A160I0OJQ46MBY,[]
A1615MDR9N12GP,['B001MBE63I']
A1631PDU0WGN4W,['B0001G6PZC']
A163N66ALZDACR,[]
A16467YDRJ9WCH,['0790747324']
A1655SGPPUUCRP,"['B000063W1R', 'B00022VM5I', 'B000FVQLQQ']"
A166F9FZTF24H0,[]
A167ZZQWJSPBFB,[]
A16837CKPTA07O,['B000063W1R']
A168VXSISJWQN9,['B004EPYZQ2']
A169HP6BTTXXXQ,['B00022VM5I']
A16ARXO84I75BF,['B0042800WE']
A16CZRQL23NOIW,"['0790747324', 'B0001G6PZC', 'B0009Y2LTU', '6304286961', 'B000FVQLQQ', 'B0001EYSQC', 'B001LMU1A0', 'B00004RQB1']"
A16DI2LBATB4K4,['B0001G6PZC']
A16FRXLHNJQFXA,['B000FVQLQQ']
A16FUU8WW76QFY,['B0001G6PZC']
A16GAIJJE39T1S,['B000FVQLQQ']
A16H0MIIIBI7VN,['B000FVQLQQ']
A16HHVXUQK3K1Z,[]
A16HM5IJDLDQOP,['B0085KGGLY']
A16HRPW0QGEZPG,['B000063W82']
A16HYHVQIFMRP6,['B000063W1R']
A16IITISD2LAX0,['B004EPYZQM']
A16J03684J3VYP,['B000063W82']
A16J5IIA94TJOB,[]
A16K21289KH6G,['B0001EYSQC']
A16KRCLLTHSB5F,['B0001G6PZC']
A16NHMMS2S0Z3F,['B0001G6PZC']
A16Q1LYIDE2WDZ,['0790747324']
A16QODENBJVUI1,[]
A16QROO5QQ0OKU,['B001LMU1A0']
A16R6RIXPKPWCL,['B000T4SWXO']
A16T67O58NQLRY,['B003QWVPT4']
A16VIPDOCCVNU7,['B0016OLXN2']
A16VWWB8G00EPV,['0790747324']
A16WLNBWXNYSGU,['B002OHDRF2']
A16X61RLY1YJL7,"['B0001G6PZC', 'B000FVQLQQ']"
A16XZP13DWYLRV,['B000T4SWXO']
A16YCLRKOU0EV3,['B002OHDRF2']
A16ZCVDIFWONW,['B002OHDRF2']
A16ZIHSSG3SI8L,['B000FVQLQQ']
A170QM825KM60W,[]
A1714AWQWHL0ZL,['B00096S43K']
A171JBUB57HUMN,['B004EPYZQ2']
A171WA0E3DIXXM,['B0001G6PZC']
A1721ZDUCRYL6C,"['B000OIOSF6', 'B000OIOSFG']"
A1722QIGPBK140,['0790750708']
A1748KGXK92TXY,['B000063W1R']
A174WE983H06N4,['B00004CQT3']
A175O4PKUL96TQ,['6301387090']
A176HPVTIMJNNT,['B0042800WE']
A178E2574H56ZJ,[]
A17A2F7CPIJBLI,['6304286961']
A17AK9ZOFZ3ULJ,['B000063W82']
A17AMR2SFPHF01,[]
A17ANX2IZSGKAV,['B00000HF14']
A17B97YRZOV7BI,['B000063W82']
A17BT73RVRQYSP,['B004SCMGSU']
A17BUUBOU0598B,['B0019RP6KC']
A17CEOVPM6AZTY,[]
A17DFIN3TRKJKT,['B000063W82']
A17DHFD2XQV4ZY,['B001AQT0VI']
A17E7K3MQ5KKR5,['B000FVQLQQ']
A17FLA8HQOFVIG,['B0001G6PZC']
A17G7WJKAJVKQW,[]
A17HD7FBZ60OAT,['B0036DBMMI']
A17JF9HPSP3J3H,['B000063W1R']
A17JY4CJX89PQD,['B000063W1R']
A17KL5J4MGIWHC,['B000063W82']
A17KTLABQ6CO73,['B004EPYZQ2']
A17KU9FY2QES1D,['B000063W82']
A17LC3ECCF1G2M,['B006FYGF8Q']
A17LI4YHJZ1WHS,['B00022VM5I']
A17MIPGI8MY5C5,['B00004RQBF']
A17N23WXA7EAF,[]
A17PV7PVB5JAWQ,['B000UGBOT0']
A17QQL809KL4I9,['B000063W82']
A17RUD7RKGZUA4,['B000063W1R']
A17RXIGVBODLS8,['B004EPYZQM']
A17SPQ5DCIGT6C,[]
A17SSIRY2ZN4RK,['B000063W82']
A17U4YXN5G7UAP,['0790747324']
A17UE6S8JSP2SZ,['B00004RXMK']
A17UL6RVPNK5IS,['B00004RQB1']
A17WER66R17JEF,['B000063W1R']
A17Y1Q2RTCMMH5,[]
A17YTUBJ1ZOLH6,[]
A17Z53UM2E111A,[]
A17ZB8RFZYL5IU,['B004EPYZQM']
A18048M17M33SM,['B004EPYZQM']
A1806QLIG0NXHR,['B000063W82']
A1809CPUT2NTFY,['6303257933']
A180WN770OOI7G,['B003QWVPT4']
A1831P64QJUSQ7,['6304286961']
A1845IJB63D5H7,[]
A184DGSI36R1MP,['B004EPYZQM']
A184Y9WJ8Z1B7H,['B000063W82']
A185Q3JI7FN7VM,['B004EPYZQ2']
A186J0MIIV3QC1,[]
A186LWIDKB0JXJ,['B002OHDRF2']
A18758S1PUYIDT,"['B000063W1R', 'B004EPYZQ2', 'B0001EYSQC']"
A1879CGNRFAXOX,['B000063W82']
A187O4M7CZMTDB,[]
A188JXCR8Y3CQE,['B006FYGF8Q']
A1897ZWXMACHBU,['B00284EM3C']
A189Z1AMUJ9X4O,['B0085KGGLY']
A18AOQDXHHP51Z,['B00004T6FK']
A18BD98SU49UB7,['6303257933']
A18BV4O63DOWNH,['B000UGBOT0']
A18D70EH5FTHYS,['6303257933']
A18DRIV1PGJSZF,['B002OHDRF2']
A18FJ1NFAEVVYW,['B0001G6PZC']
A18FK25N9J5FXA,[]
A18G4NS1MD2U4L,['6301045734']
A18G7GG53G2X8A,[]
A18GL0PGHSADPQ,['B004EPYZQ2']
A18GP1PWVTKXQQ,[]
A18ICIVGP5AHDP,['6304286961']
A18IK6YI6T3RK2,['B00004RQB1']
A18IQME5DCSH2L,[]
A18JZ5FSU7CXWO,['0800103688']
A18K1AALY6UCZQ,['078401115X']
A18L8A19V8XHRF,['0790747324']
A18LC2UPXD4DZ9,[]
A18MBO1U4DPY20,['B004EPYZQ2']
A18MMI1E0IC8OM,['6300147967']
A18O9Q6E4K1S8P,[]
A18OUQEK7IZ2F2,"['B000063W82', '6301967917']"
A18PRAQOCXAJ43,['B000063W82']
A18Q5S8I3FMS86,[]
A18QZKTG2AEPQE,['B0002BO0V2']
A18RMDR4IVENCZ,"['B004EPYZQM', 'B004EPYZQM']"
A18RP7802IRG0R,['B00096S43U']
A18S6NZ3VSOB5X,[]
A18SC0K2OUTGFF,['B000063W1R']
A18SDN3HYFVH2L,['B004GIZX3Q']
A18T13XS89ZCEI,['B0001G6PZC']
A18UDHMBY4BAKU,[]
A18V98FU1N0D6H,['B002OHDRF2']
A18VDZG0OEJRGL,['B00096S43K']
A18W6JE3GFSD5I,['0790747324']
A18WXJCKY44ENQ,['B004EPYZQ2']
A18WZZ8OCXLCMG,['B000B19E8W']
A18XYPKYS15YBP,['B000063W1R']
A18Y3VRG7OP4J2,['B000FVQLQQ']
A18ZHKO16OW4G2,['B000065K9R']
A18ZOHJ7ZERQ8,['B000CEXFBU']
A193A7T1E8CUTB,['0790747324']
A193V4AM5BEMGQ,['B0001G6PZC']
A193XTXJZ0BGS0,['B0016OLXN2']
A194PR7PPY5M93,['B0001G6PZC']
A1960UAFT6R993,[]
A19669N072TTKQ,['6304286961']
A196IMI8WKWDFK,['B008FPU7AA']
A196V4NGCL8CTT,['6303257933']
A199545U14YERT,['B000065K9R']
A19A8EL1S23P2R,['6303257933']
A19AFRNM8UAKSZ,['B00096S43K']
A19BK539RB766A,['6300147967']
A19BXTXH13YG40,['B0016OLXN2']
A19DDULX2H5LLJ,['B002OHDRF2']
A19DUVP0UUQ224,[]
A19DW3VKM5KKYB,['B000Q7ZNZ4']
A19EKT8H85AKO5,['B009B6XA1U']
A19ELFMMKB83HC,"['B001GBPZRU', 'B0016OLXN2']"
A19FTIIBYPMF22,['B000063W82']
A19HCG1C5IZ43M,[]
A19K46GITRI5Y2,['B001LMU1A0']
A19KXPPK2R2FU5,[]
A19LAYSX67AI3A,['B000056PNV']
A19M0GYMX15WJQ,['B003QWVPT4']
A19M8YF8XR7IR6,[]
A19MAVC96BTFDG,['B004EPYZQM']
A19N3S7CBSU6O7,['B000T4SWXO']
A19NK706ZDJ4UK,['B000T4SWXO']
A19O103MOTG4GU,['B000UGBOT0']
A19O5ETNRJN39D,['B000063W1R']
A19PAJQ019PG94,['B0042800WE']
A19PHVY41E0XSU,['B004EPYZQ2']
A19QEHIGWIUFKB,['B006FYGF8Q']
A19QIBFRAZNAIK,['B0001G6PZC']
A19QNQ8RNTGU2B,['B00096S43K']
A19THR3ZXSIK49,['B004EPYZQ2']
A19TQ1J0ATDRSP,['B00004CQTP']
A19U5RYULZ0Z72,['B004SCMGSU']
A19UVEB0IKFY63,['B001AQT0VI']
A19XHCNHJS3KM,['6304179499']
A19YOYY7FLQMA6,[]
A19YUEPE97E57O,['B001AQT0VI']
A19YWQZMAICA21,"['B004EPYZQM', 'B001LMU1A0']"
A19Z0LSQR259ME,['B0001G6PZC']
A19ZXK9HHVRV1X,"['B0001G6PZC', 'B000Q7ZNZ4', 'B001E6JCBC']"
A1A19C00QZVRTK,['B000063W1R']
A1A1FKWM2MJ0B,[]
A1A2AZP3H15UZ2,[]
A1A3SKFFI43ZN3,['B004TWOX26']
A1A3TAZV5SIS09,[]
A1A3TWPB5A4HME,['B003BGZ60Y']
A1A535W556ROBQ,"['B000063W82', 'B000T4SWXO']"
A1A5SGSGIHVE34,['B0023S4A12']
A1A5Y81Y7QEPE7,[]
A1A6NFLG75OSAF,['B000JBXHBO']
A1A7ATF0Z9PBL3,[]
A1A7YFVQXXN94,['0790747324']
A1A9B8C36D88ZP,['B000FVQLQQ']
A1A9I70YO7XSO4,['0790747324']
A1A9NP5KH47CU3,['B004EPYZQ2']
A1AAB87UHOWJYN,['B0016OLXN2']
A1ABZZ5ALZFMAG,['B000063W82']
A1ACQV1N4R6C8A,[]
A1AD0R2W3E7KMK,['B002OHDRF2']
A1AE1MDRK6L2UM,['B000063W82']
A1AE7GQ9YTCDL7,[]
A1AFHYBINSG7PH,['B000063W1R']
A1AFXJ8U72MD6L,"['B004EPYZQ2', '078401115X']"
A1AH4O9HJT1QOW,['B000FVQLQQ']
A1AISPOIIHTHXX,"['B002OHDRF2', 'B001E6JCBC']"
A1AIV6MT6LKX1N,['B000063W1R']
A1AK24HIWGNHNT,['B0001G6PZC']
A1ALOEZ4NXHUT,['B000056PNV']
A1ALOIPRR8Q06J,[]
A1ALXOU35CWADD,[]
A1AM8XLB1XN3Q6,['B001AQT0VI']
A1AMVC4V396KER,[]
A1ANECOZNPF9ZH,['B002OHDRF2']
A1AOUMPM23BY5A,['B002OHDRF2']
A1AQII1XXE0G7C,['B002OHDRF2']
A1AUECS6PK5NWW,['B001LMU1A0']
A1AY6PKVBITY8G,['6305074054']
A1B01Z2US27751,['B0001G6PZC']
A1B05INWIDZ74O,"['B0001G6PZC', 'B0016OLXN2']"
A1B1ALTUOHEUPO,['B000065FKL']
A1B2RKOFZXDBNM,['B00004RQB1']
A1B350OHYHQTGX,['B000FVQLQQ']
A1B35ED8A68CVI,['B0016OLXN2']
A1B3E14QCCMCYZ,['B004ZWHZUC']
A1B3QYEZ1WE7EH,['B000063W82']
A1B3XL8MXYC6ND,['B000UGBOT0']
A1B51EMR2ZH3YQ,['B001LMU1A0']
A1B7D2BRAJ5VFT,['B003QWVPT4']
A1B7XUC8C99NWJ,['B001E6JCBC']
A1B86D9G9S2QOX,['B00000HF14']
A1BATHNY2QAZI2,['6301387090']
A1BBILHPJ11VAJ,['B003QWVPT4']
A1BDRDPOXPR0I4,['B000FVQLQQ']
A1BE4GXUR74TT8,['B004EPYZQM']
A1BEH1OIPN27MM,['B004EPYZQ2']
A1BG3W8PI40ZC1,['B000CEXFBU']
A1BGB8XF16IO7Z,['B001LMU1A0']
A1BGPJPNGBV477,[]
A1BH34IMUVK9WP,['B000065K9R']
A1BHCE2409B5QF,['B0001G6PZC']
A1BIUM2R7E0NJ1,['B007EMEOEA']
A1BJ4X0Y4SBW40,['6303257933']
A1BJHZYIUKELX4,['B004EPYZQM']
A1BJJVV2B5VLUQ,['B000FVQLQQ']
A1BMQA5PIZKU1P,['6304286961']
A1BPCSTNJDIL69,['B001AQT0VI']
A1BPCX5TX2HNRQ,['B004EPYZQM']
A1BQN95IAGAZGJ,['B00096S43U']
A1BRKY67O70I9E,['B002B7CFR6']
A1BRXLWP985V4E,[]
A1BTNED3N2S3W9,['B0000TPAVK']
A1BVN8OVG91D0H,['B002OHDRF2']
A1BVV2K1BKGPD5,['0790747324']
A1BWHXTFOVF9CY,['0790747324']
A1BWYC2LJAOZ3L,[]
A1BXGZK42AUSQR,[]
A1BXPWOTTW0IZF,[]
A1BXR1B7DYLV1X,['B0001EYSQC']
A1BY3DNV980MTW,['B000T4SWXO']
A1BZ0HQ8SDZWYD,[]
A1BZKRDRPLAA90,['B000FVQLQQ']
A1BZZNC5DJG3TZ,['B000063W1R']
A1C0M4FU3CL443,['B003QWVPTE']
A1C2OH9JSJ8RFP,['6300276554']
A1C58YXM2A30CY,"['B004EPYZQ2', '6304179499']"
A1C6QKDMK7L6KH,[]
A1C80B497LCYKA,['B002OHDRF2']
A1C8Q7YG48VMTE,['B004EPYZQ2']
A1C9GCHR99WX3F,['6304179499']
A1C9KYU2Q2CAEF,[]
A1CAZ14BI92EOU,['0800103688']
A1CAZ60BDI5H7,['B000063W82']
A1CB80GUH0DKKX,['B004EPYZQ2']
A1CBEDK93EC8EJ,['B000063W82']
A1CC63KLU8NO4Z,['B000JBXHBO']
A1CC6I8JDXU22J,['B000T4SWXO']
A1CDNTB7377YH2,['B000FVQLQQ']
A1CDZNPO7U4E6N,[]
A1CE9259TTIIEA,['6303257933']
A1CGL16HP5WQRG,['B00097E6NQ']
A1CI77RGQ5X98X,['B000063W82']
A1CIQTLWE6RAZF,['B0012EM5GK']
A1CIW2OEVAJRM2,"['B00004CQT3', 'B000FVQLQQ']"
A1CJE1I3FZ32ID,[]
A1CK3RTS5QL2HO,['B000063W82']
A1CLHGYM5NIM4C,['B001E6JCBC']
A1CLHLW9PFKG9Q,['B004EPYZQ2']
A1CLU5FAU0YXPH,[]
A1CM0DKB4ZXTTR,['B000063W82']
A1CMPA1GBN60EN,[]
A1CO1N9IS94KMX,['B00000IC87']
A1COW0UIB5HA9J,"['B0001G6PZC', 'B001AQT0VI']"
A1CPJXP2BWLAJE,[]
A1CRU79A1O9Z7Y,['B004TWOX26']
A1CRVQQQ17GRLP,['B0001G6PZC']
A1CSKKTDNT13BD,['B000T4SWXO']
A1CUDPPGBDI1S7,[]
A1CV19Z3EDXMJ6,['B009RAF860']
A1CVLY6IVRGZBA,['B000063W82']
A1CXVAOCM2IN5Q,['B000063W82']
A1CYGLKE21ABO,['6300276554']
A1CZ0RFU1VBU7N,['B000063W82']
A1CZ8JTF1JCI72,['B002OHDRF2']
A1CZICCYP2M5PX,[]
A1D07Q3SZN1RLS,['6303257933']
A1D0V3O8BB4NHM,['B000063W82']
A1D105PC58J8K2,['B004EPYZQM']
A1D12NAC1U12F0,[]
A1D1AY2JJC59CY,['B000JBXHBO']
A1D1GW27W0BU0I,['B000Q7ZNZ4']
A1D1OIINL9M6C6,['B006FYGF8Q']
